index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,decade
1241,tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,drama,"['US', 'CN']",1.0,tt2267968,7.1,152791.0,2010
1242,tm206698,Ouija: Origin of Evil,MOVIE,2016,PG-13,99,thriller,['US'],1.0,tt4361050,5.3,6.0,2010
1242,tm206698,Ouija: Origin of Evil,MOVIE,2016,PG-13,99,horror,['US'],1.0,tt4361050,5.3,6.0,2010
1242,tm206698,Ouija: Origin of Evil,MOVIE,2016,PG-13,99,drama,['US'],1.0,tt4361050,5.3,6.0,2010
1243,ts38199,The Magicians,SHOW,2015,TV-14,44,drama,['US'],5.0,tt4254242,7.6,49557.0,2010
1243,ts38199,The Magicians,SHOW,2015,TV-14,44,scifi,['US'],5.0,tt4254242,7.6,49557.0,2010
1243,ts38199,The Magicians,SHOW,2015,TV-14,44,fantasy,['US'],5.0,tt4254242,7.6,49557.0,2010
1244,tm239727,Nocturnal Animals,MOVIE,2016,R,115,drama,['US'],1.0,tt4551306,7.5,264884.0,2010
1244,tm239727,Nocturnal Animals,MOVIE,2016,R,115,thriller,['US'],1.0,tt4551306,7.5,264884.0,2010
1245,tm199607,The Gift,MOVIE,2015,R,108,thriller,"['AU', 'US']",1.0,tt4178092,7.1,151679.0,2010
1245,tm199607,The Gift,MOVIE,2015,R,108,drama,"['AU', 'US']",1.0,tt4178092,7.1,151679.0,2010
1245,tm199607,The Gift,MOVIE,2015,R,108,documentation,"['AU', 'US']",1.0,tt4178092,7.1,151679.0,2010
1246,ts53051,The OA,SHOW,2016,TV-MA,55,scifi,['US'],2.0,tt4635282,7.9,100911.0,2010
1246,ts53051,The OA,SHOW,2016,TV-MA,55,drama,['US'],2.0,tt4635282,7.9,100911.0,2010
1246,ts53051,The OA,SHOW,2016,TV-MA,55,fantasy,['US'],2.0,tt4635282,7.9,100911.0,2010
1247,ts47714,Kim's Convenience,SHOW,2016,TV-14,22,comedy,['CA'],5.0,tt5912064,8.3,16970.0,2010
1248,ts21869,Sense8,SHOW,2015,TV-MA,62,scifi,['US'],2.0,tt2431438,8.2,151518.0,2010
1248,ts21869,Sense8,SHOW,2015,TV-MA,62,thriller,['US'],2.0,tt2431438,8.2,151518.0,2010
1248,ts21869,Sense8,SHOW,2015,TV-MA,62,drama,['US'],2.0,tt2431438,8.2,151518.0,2010
1249,tm204163,War Dogs,MOVIE,2016,R,114,crime,['US'],1.0,tt2005151,7.1,208185.0,2010
1249,tm204163,War Dogs,MOVIE,2016,R,114,drama,['US'],1.0,tt2005151,7.1,208185.0,2010
1249,tm204163,War Dogs,MOVIE,2016,R,114,comedy,['US'],1.0,tt2005151,7.1,208185.0,2010
1249,tm204163,War Dogs,MOVIE,2016,R,114,war,['US'],1.0,tt2005151,7.1,208185.0,2010
1250,tm135307,Blackhat,MOVIE,2015,R,133,thriller,['US'],1.0,tt2717822,5.4,58192.0,2010
